zip,scope,key,n,min_us,median_us,p95_us,max_us,visible,fast_layer,kind,image_format,pixel_area,drawn_area,rotated,color_filtered,dyn_bound,text_length,parse_ms,apply_ms,res_count,res_bytes,svg_count
# default, 450x450, 30 reps, seconds pref true
analog_v2,view,background,30,-191975,44103,286312,585068,true,false,background,other,0,202500,false,false,false,0,0,399,4,133354,3
analog_v2,view,second_hand,30,1730,40899,351756,508137,true,true,image,other,0,202500,true,true,false,0,0,399,4,133354,3
analog_v2,view,minute_hand,30,-775502,32120,106088,124858,true,true,image,other,0,202500,true,false,false,0,0,399,4,133354,3
analog_v2,view,hour_hand,30,-55815,28317,197743,274218,true,true,image,other,0,202500,true,false,false,0,0,399,4,133354,3
analog_v2,view,day_name,30,-286845,11970,121659,527704,true,true,text,other,0,3402,false,false,true,3,0,399,4,133354,3
analog_v2,view,cover_chart,30,-131738,10840,90065,97454,true,false,image,picture,0,202500,false,false,false,0,0,399,4,133354,3
analog_v2,view,sgv,30,-255584,10727,134897,219477,true,true,text,other,0,4214,false,false,false,3,0,399,4,133354,3
analog_v2,view,chart,30,-116604,7707,75526,158116,true,false,other,other,0,34200,false,false,false,0,0,399,4,133354,3
analog_v2,view,timestamp,30,-671563,6526,129365,239359,true,true,text,other,0,3136,false,false,false,2,0,399,4,133354,3
analog_v2,view,loop,30,-334789,2625,84838,162688,true,true,text,other,0,3136,false,false,false,2,0,399,4,133354,3
analog_v2,view,cob2,30,-364299,1642,56151,73525,true,false,text,other,0,4403,false,false,true,3,0,399,4,133354,3
analog_v2,view,basalRate,30,-609788,1401,134906,1120551,true,false,text,other,0,4403,false,false,true,8,0,399,4,133354,3
analog_v2,view,reservoir,30,-244252,1257,308455,719797,true,false,text,other,0,4403,false,false,true,4,0,399,4,133354,3
analog_v2,view,day,30,-183481,806,106419,647725,true,true,text,other,0,3402,false,false,true,2,0,399,4,133354,3
analog_v2,view,iob2,30,-115101,198,93949,235593,true,false,text,other,0,4403,false,false,true,4,0,399,4,133354,3
analog_v2,view,uploader_battery,30,-504237,0,131121,346095,true,false,text,other,0,4403,false,false,false,3,0,399,4,133354,3
analog_v2,view,delta,30,-430250,-1010,100874,388179,true,false,text,other,0,1782,false,false,false,2,0,399,4,133354,3
analog_v2,view,direction,30,-652496,-1202,128147,506390,true,true,image,other,0,1089,false,true,false,0,0,399,4,133354,3
analog_v2,view,iob1,30,-100870,-8602,83675,128427,true,false,text,picture,0,729,false,false,true,2,0,399,4,133354,3
analog_v2,view,tempTarget,30,-675052,-12739,20318,30749,true,false,text,other,0,4403,false,false,true,3,0,399,4,133354,3
analog_v2,view,avg_delta,30,-379534,-13006,81825,472379,true,false,text,other,0,1782,false,false,false,2,0,399,4,133354,3
analog_v2,encode,copy_450,30,4721,4874,5916,18182,true,true,copy,copy,202500,202500,false,false,false,810000,0,0,0,810000,0
analog_v2,encode,png_450,30,115937,126129,307182,337394,true,true,png,png,202500,202500,false,false,false,70412,0,0,0,70412,0
analog_v2,encode,webp_lossless_450,30,72426,82705,277198,377924,true,true,webp_lossless,webp_lossless,202500,202500,false,false,false,46680,0,0,0,46680,0
analog_v2,encode,webp_90_450,30,160726,181270,576275,1044242,true,true,webp_90,webp_90,202500,202500,false,false,false,27418,0,0,0,27418,0
analog_v2,encode,copy_240,30,1360,1426,1582,1618,true,true,copy,copy,57600,57600,false,false,false,230400,0,0,0,230400,0
analog_v2,encode,png_240,30,36910,46398,142166,216697,true,true,png,png,57600,57600,false,false,false,28318,0,0,0,28318,0
analog_v2,encode,webp_lossless_240,30,19473,20209,30905,32244,true,true,webp_lossless,webp_lossless,57600,57600,false,false,false,21546,0,0,0,21546,0
analog_v2,encode,webp_90_240,30,52893,53669,78719,95553,true,true,webp_90,webp_90,57600,57600,false,false,false,14314,0,0,0,14314,0
analog_v2,encode,copy_120,30,376,386,484,532,true,true,copy,copy,14400,14400,false,false,false,57600,0,0,0,57600,0
analog_v2,encode,png_120,30,8993,9227,19785,25091,true,true,png,png,14400,14400,false,false,false,6818,0,0,0,6818,0
analog_v2,encode,webp_lossless_120,30,5985,6223,8002,8429,true,true,webp_lossless,webp_lossless,14400,14400,false,false,false,4464,0,0,0,4464,0
analog_v2,encode,webp_90_120,30,13913,14260,83968,127959,true,true,webp_90,webp_90,14400,14400,false,false,false,3602,0,0,0,3602,0
analog_v2,encode,copy_60,30,150,623,11140,27931,true,true,copy,copy,3600,3600,false,false,false,14400,0,0,0,14400,0
analog_v2,encode,png_60,30,3407,5751,82876,183385,true,true,png,png,3600,3600,false,false,false,2367,0,0,0,2367,0
analog_v2,encode,webp_lossless_60,30,2766,3165,25372,64586,true,true,webp_lossless,webp_lossless,3600,3600,false,false,false,1574,0,0,0,1574,0
analog_v2,encode,webp_90_60,30,4351,4468,4682,5287,true,true,webp_90,webp_90,3600,3600,false,false,false,1584,0,0,0,1584,0
# analog_v3, 450x450, 30 reps, seconds pref true
analog_v3,frame,-,630,79109,85092,117456,417923,,,,,,,,,,0,1722,4,133354,3
analog_v3,refresh,-,30,47218,104812,210945,307297,,,,,,,,,,0,1722,4,133354,3
analog_v3,refresh_cold,-,10,36625,80071,1170692,1462906,,,,,,,,,,0,1722,4,133354,3
analog_v3,sum_of_views,-,1,85241,85241,85241,85241,,,,,,,,,,0,1722,4,133354,3
analog_v3,fast_layer,-,1,63277,63277,63277,63277,,,,,,,,,,0,1722,4,133354,3
analog_v3,view,second_hand,30,-63840,26664,30409,36534,true,true,image,other,0,202500,true,true,false,0,0,1722,4,133354,3
analog_v3,view,minute_hand,30,-88332,17413,20767,166788,true,true,image,other,0,202500,true,false,false,0,0,1722,4,133354,3
analog_v3,view,hour_hand,30,-177136,16804,73976,122670,true,true,image,other,0,202500,true,false,false,0,0,1722,4,133354,3
analog_v3,view,chart,30,-232084,10292,12660,16078,true,false,other,other,0,34200,false,false,false,0,0,1722,4,133354,3
analog_v3,view,cover_chart,30,-88535,6885,10770,65777,true,false,image,picture,0,202500,false,false,false,0,0,1722,4,133354,3
analog_v3,view,background,30,-2170,1553,5213,14053,true,false,background,other,0,202500,false,false,false,0,0,1722,4,133354,3
analog_v3,view,direction,30,-14066,1467,15318,31100,true,true,image,other,0,1089,false,true,false,0,0,1722,4,133354,3
analog_v3,view,uploader_battery,30,-41388,925,17979,28572,true,false,text,other,0,4403,false,false,false,3,0,1722,4,133354,3
analog_v3,view,timestamp,30,-30564,766,33639,83845,true,true,text,other,0,3136,false,false,false,2,0,1722,4,133354,3
analog_v3,view,tempTarget,30,-72072,764,65876,333758,true,false,text,other,0,4403,false,false,true,3,0,1722,4,133354,3
analog_v3,view,day,30,-109319,758,35124,75693,true,true,text,other,0,3402,false,false,true,2,0,1722,4,133354,3
analog_v3,view,reservoir,30,-222910,625,61542,74295,true,false,text,other,0,4403,false,false,true,4,0,1722,4,133354,3
analog_v3,view,day_name,30,-33924,534,24052,110544,true,true,text,other,0,3402,false,false,true,3,0,1722,4,133354,3
analog_v3,view,avg_delta,30,-199068,481,40742,50851,true,false,text,other,0,1782,false,false,false,2,0,1722,4,133354,3
analog_v3,view,delta,30,-102442,436,77273,294394,true,false,text,other,0,1782,false,false,false,2,0,1722,4,133354,3
analog_v3,view,iob2,30,-4050,186,57446,116096,true,false,text,other,0,4403,false,false,true,4,0,1722,4,133354,3
analog_v3,view,iob1,30,-4771,158,3871,106969,true,false,text,picture,0,729,false,false,true,2,0,1722,4,133354,3
analog_v3,view,basalRate,30,-18897,69,6878,13196,true,false,text,other,0,4403,false,false,true,8,0,1722,4,133354,3
analog_v3,view,cob2,30,-36508,-410,8199,11544,true,false,text,other,0,4403,false,false,true,2,0,1722,4,133354,3
analog_v3,view,loop,30,-32106,-560,43993,87962,true,true,text,other,0,3136,false,false,false,2,0,1722,4,133354,3
analog_v3,view,sgv,30,-21590,-569,3071,22949,true,true,text,other,0,4214,false,false,false,3,0,1722,4,133354,3
analog_v3,encode,copy_450,5,4813,4874,4905,4909,true,true,copy,copy,202500,202500,false,false,false,810000,0,0,0,810000,0
analog_v3,encode,png_450,5,124297,125777,126048,126104,true,true,png,png,202500,202500,false,false,false,71038,0,0,0,71038,0
analog_v3,encode,webp_lossless_450,5,74576,75212,92598,96888,true,true,webp_lossless,webp_lossless,202500,202500,false,false,false,45886,0,0,0,45886,0
analog_v3,encode,webp_90_450,5,161469,165855,185360,190217,true,true,webp_90,webp_90,202500,202500,false,false,false,27296,0,0,0,27296,0
analog_v3,encode,merge_1_450,5,4098,4181,4309,4334,true,true,merge_1,merge_1,202500,202500,false,false,false,810000,0,0,0,810000,0
analog_v3,encode,merge_2_450,5,5189,5251,5434,5475,true,true,merge_2,merge_2,202500,202500,false,false,false,810000,0,0,0,810000,0
analog_v3,encode,merge_3_450,5,6100,6507,7037,7038,true,true,merge_3,merge_3,202500,202500,false,false,false,810000,0,0,0,810000,0
analog_v3,encode,merge_4_450,5,7110,7445,7746,7767,true,true,merge_4,merge_4,202500,202500,false,false,false,810000,0,0,0,810000,0
analog_v3,encode,merge_6_450,5,9055,9502,9602,9625,true,true,merge_6,merge_6,202500,202500,false,false,false,810000,0,0,0,810000,0
analog_v3,encode,copy_240,5,1407,1426,1546,1548,true,true,copy,copy,57600,57600,false,false,false,230400,0,0,0,230400,0
analog_v3,encode,png_240,5,38673,39768,40472,40602,true,true,png,png,57600,57600,false,false,false,27716,0,0,0,27716,0
analog_v3,encode,webp_lossless_240,5,19510,19924,21469,21834,true,true,webp_lossless,webp_lossless,57600,57600,false,false,false,20126,0,0,0,20126,0
